document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
aae5c6f0c213946d265cb98c08106c0b,43,"Per ognuno di essi sono indicati: 
- il nome del responsabile del procedimento; 
- il nome del responsabile dell'Ufficio (Reparto);
- i nomi degli operatori che, eventualmente, forniscono al responsabile il supporto necessario; 
- i tempi massimi di legge entro i quali deve essere concluso il procedimento;","Le attività amministrative (procedimenti) contengono queste informazioni: 
- il nome del responsabile del procedimento; 
- il nome del responsabile dell'Ufficio (Reparto) al cui interno si svolge il procedimento;
- i nomi degli operatori che aiutano il responsabile; 
- in quanti giorni al massimo la Polizia deve rispondere e chiudere il procedimento;",,Esplicitare il soggetto e aggiunta parola informazioni | verbo colloquiale rispetto a formale (supportare) | parola concreta giorni invece di tempi,2024-03-12T19:39:22.452312,94.0
aae5c6f0c213946d265cb98c08106c0b,44,"Qualora l'utente non provveda a inviare la documentazione completa o la trasmetta inesatta, rallentando in tal modo il procedimento, i responsabili del Reparto Operativo si impegnano a sollecitarlo informandolo sullo stato della pratica al fine di trovare una rapida soluzione. A questo proposito, gli stessi si impegnano, in casi di particolare complessità, a convocarlo, anche telefonicamente, per una più rapida risoluzione di eventuali problemi.",Se il cittadino non manda tutti i documenti o li manda in modo sbagliato rallenta il procedimento. In questo caso i responsabili della Polizia Locale (Reparto Operativo) chiamano il cittadino e gli fanno sapere che problemi ci sono in modo da risolverli velocemente. La Polizia locale si impegna a chiamare anche al telefono il cittadino se la pratica è complessa in modo da risolvere velocemente i problemi.,,Termini colloquiali | congiunzione se invece di qualora | Spezzare le frasi per costruirne di più semplici |Aggiungere una ridondanza utile a chiarire,2024-03-12T19:44:50.649731,147.0
aae5c6f0c213946d265cb98c08106c0b,45,Disponibilità agli appuntamenti extra orario di apertura al pubblico,La Polizia locale dà anche appuntamenti al di fuori dell'orario stabilito. ,,Soggetto esplicito | Verbo invece di nome astratto,2024-03-12T19:45:37.380249,46.0
aae5c6f0c213946d265cb98c08106c0b,46,Uniformità degli orari al pubblico del Servizio polizia locale con gli orari di altri uffici pubblici potenzialmente coinvolti nei vari procedimenti,La Polizia si impegna ad avere un orario di lavoro uguale a quello di altri uffici pubblici che possono essere utili per i vari procedimenti,,Soggetto esplicitato | termini colloquiali | avverbio potenzialmente tradotto come verbo potere,2024-03-12T19:46:51.302689,41.0
aae5c6f0c213946d265cb98c08106c0b,47,Tempi medi di ricerca per visura/rilascio copia di atti su domanda,Il numero di giorni che in media serve dopo aver presentato la domanda per vedere un documento o per avere una copia di un documento ,,Nomi concreti | verbo invece della parola tecnica e astratta visura,2024-03-12T19:48:29.934997,68.0
aae5c6f0c213946d265cb98c08106c0b,48,"Uniformità e compatibilità sistema informatico ed informativo con gli uffici coinvolti in una pratica complessa (servizi sociali lavori pubblici, ambiente ragioneria, LL.PP., contratti)","La Polizia Locale assicura di usare il sistema informatico e il sistema di informazioni uguali a quelli degli uffici che sono utili per le pratiche complicate (cioè uffici dei servizi sociali, uffici dei lavori pubblici, uffici dell'ambiente, uffici della ragioneria, uffici LL.PP., uffici dei contratti)",,Soggetto esplicito | sostituzione di termini formali con termini colloquiali | Ridondanza della parola uffici per aumentare la chiarezza,2024-03-12T19:50:53.519861,103.0
aae5c6f0c213946d265cb98c08106c0b,49,Identificabilità del personale mediante placca negli orari di servizio,Il personale della Polizia quando lavora ha la medaglietta col numero di matricola in modo che il cittadino sa con chi sta parlando.,,Esplicitare il soggetto | sostituire termine raro o formale con termine colloquiale | nome d'azione in servizio sostituito da quando lavora,2024-03-12T19:52:24.153135,45.0
aae5c6f0c213946d265cb98c08106c0b,50,"Corsi di aggiornamento tecnico, addestramento teorico/pratico, formazione sulla persona","La Polizia Locale organizza Corsi di aggiornamento tecnico, corsi di addestramento teorico e pratico, corsi di formazione sulla persona per i suoi lavoratori",,Soggetto esplicito | nomi d'azione sostituito da verbi | ridondanza (ripetizione di Corsi) per aumentare la chiarezza,2024-03-12T19:53:41.170662,33.0
aae5c6f0c213946d265cb98c08106c0b,51,Indagini sulla soddisfazione degli utenti del servizio,La Polizia Locale distribuisce questionari per capire se i cittadini sono contenti del servizio,,Soggetto esplicito | verbi al posto di nomi d'azione | frasi al posto di nomi d'azione,2024-03-12T19:54:49.507245,32.0
aae5c6f0c213946d265cb98c08106c0b,52,N° reclami presentati a carico dei servizi di Polizia locale Reparto Operativo nell'arco dell'anno solare,La Polizia Locale sa quanti reclami sono stati presentati contro la Polizia locale (Reparto Operativo) in un anno (da gennaio a dicembre),,Soggetto esplicito | verbi al posto dei nomi d'azione | chiarimento dei concetti come anno solare,2024-03-12T19:58:12.386843,53.0
aae5c6f0c213946d265cb98c08106c0b,53,"Annualmente i responsabili del Reparto Operativo producono al Comandante della Polizia Locale di Rovigo un Rapporto di valutazione sulla Carta del Servizio con indicazione: 
- dei risultati dell'attività relativamente agli indicatori di qualità riportati in tabella, con i relativi scostamenti dagli standard prestabiliti, esplicandone le cause e proponendo i relativi correttivi sull'attività del reparto; 
- degli esiti delle indagini di soddisfazione effettuate sugli utenti; 
- dei reclami, presentati direttamente o indirettamente, dagli utenti; 
- delle eventuali anomalie riscontrate.","Ogni anno i responsabili della Polizia Locale (Reparto Operativo) scrivono al Comandante della Polizia Locale di Rovigo un Rapporto per valutare la Carta del Servizio. Il rapporto contiene queste informazioni: 
- attività svolte valutando di che qualità sono state, se migliori o peggiori del passato, e se ci sono stati errori quale è la causa e come si possono rendere migliori le attività del Reparto Operativo ; 
- risposte dei cittadini sulla loro contentezza rispetto ai servizi ricevuti; 
- reclami presentati dai cittadini; 
- problemi incontrati.",,Espressioni più colloquiali | separare pezzi di enunciati | termini colloquiali,2024-03-12T20:03:20.662156,231.0
aae5c6f0c213946d265cb98c08106c0b,54,"Il rapporto è esaminato in pubbliche adunanze, alle quali sono invitati direttamente i rappresentanti delle Associazioni per la tutela dei Consumatori, con le quali esiste un apposito Protocollo d'Intesa. ",La Polizia presenta il rapporto sulla qualità nelle riunioni aperte al pubblico a cui partecipano i rappresentanti delle Associazioni che proteggono i Consumatori. Con queste associazioni esiste un accordo chiamato Protocollo d'Intesa. ,,Soggetto esplicito verbo attivo invece che passivo | Termini colloquiali | spiegare un termine tecnico introducendolo,2024-03-12T20:05:21.161525,75.0
aae5c6f0c213946d265cb98c08106c0b,55,"A seguito degli esiti delle pubbliche adunanze il Comandante della Polizia Locale di Rovigo, d'accordo con i responsabili del Reparto Operativo aggiorna o conferma gli standard e gli indicatori di qualità rinvenibili nella presente Carta del Servizio, su corrispondente Direttiva del Sindaco o dell'Assessore alla Sicurezza.",Il Comandante della Polizia Locale di Rovigo dopo le riunioni pubbliche parla anche con i responsabili del Reparto Operativo e poi cambia o conferma gli elementi che esprimono e fanno misurare la qualità della Carta del Servizio. In questa decisione considera anche la Direttiva del Sindaco o dell'Assessore alla Sicurezza.,,Soggetto esplicito | ordine lineare delle frasi | evitare gli incisi e aggiungere verbi di collegamento,2024-03-12T20:08:48.373614,161.0
